"Bamber, Philip","Braga Blanco, G.","Dillon, Eilish",,,,,,,,,
"Bangay, Colin","Braun, Karl-Heinz","Dixon, T. D.",,,,,,,,,
"Barandiaran, Marta Galdós","Braungart, Anna","Domiter, A.",,,,,,,,,
"Baranzeli, Caroline","Bravo, Liliana","Donaldson, G.",,,,,,,,,
"Barbosa, Anna Carolina","Breidlid, Anders","Durham, S. G.",,,,,,,,,
,"Bringle, Robert G.","Díaz Garrido, P.",,,,,,,,,
,"Brito Román, J. C.","Edmiston-Strasser, D.",,,,,,,,,
"Barbosa, Gabriela","Brito, Paulo de","El-Bushra, J.",,,,,,,,,
"Barbosa, Néstor Adolfo Pachón","Broersma, M.","Elfert, Maren",,,,,,,,,
"Barceló, Fernando Ojeda","Brooks, Thom",Equipa Sinergias ED,,,,,,,,,
"Baring, Rito",,"Erro Sala, J.",,,,,,,,,
"Barker, Michelle","Brown, Eleanor Joanne","Escudié, V.",,,,,,,,,
"Barnett, Edward","Brown, Margaret A.","Esplugues Cebrián, M.",,,,,,,,,
"Baronnet, Bruno","Brown, Neil",European Students' Union.,,,,,,,,,
"Baroutsis, Aspa","Bruder, Martin","Evans, Mark",,,,,,,,,
"Barreiros, Carina Isabel",,"Evers, N.",,,,,,,,,
,"Brunold, Andreas","Funghi, Federica",,,,,,,,,
,"Bryan, Audrey","Fassis, F.",,,,,,,,,
"Barreto, Carmen Ricardo","Bunnell, Tristan","Faure, R.",,,,,,,,,
"Barreto, María Antónia","Burdukova, G.",Federación Aragonesa de Solidaridad,,,,,,,,,
"Barrio, Felipe Gértrudix","Butt, Saima","Fernandes Sena Reis, M. C.",,,,,,,,,
"Barrios, John Cano",,"Fernández Herrera, J. D.",,,,,,,,,
"Barroso, Rafaela Candeias","Buxarrais Estrada, Maria Rosa ","Fochier, M.",,,,,,,,,
,"Bußmann, Claudia","Folgado Morais, J. P.",,,,,,,,,
"Barthes, Angela","Byram, Michael","Fraillon, J.",,,,,,,,,
"Bartlett, Lesley","Brożyński, Jan","Franch, Sara",,,,,,,,,
"Bartz, Gesine",,"Freitas, J.S.",,,,,,,,,
"Bas Peña, Encarnación","Gallenkamp, Charlotte (Eds.)","Fricke, Harm-Jan ",,,,,,,,,
"Bascopé, Martín","Pinzón C., David R. ","Fueyo Gutiérrez, Aquilina",,,,,,,,,
"Bastkowski, Martin",C.N.G.E.I.,Fundación Mujeres.,,,,,,,,,
"Bates, Jessica","Cabała, A.","Fülöp, M.",,,,,,,,,
"Baudet, Ricardo Brodsky","Cabrera, L."," Thésée, Gina",,,,,,,,,
"Bauer, Kristina","Caio, G.",GENE,,,,,,,,,
"Baumgarten-Szczyrska, Dorota","Serra, Salvador Calabuig i",,,,,,,,,,
"Bavaresco, Paulo Ricardo","Calabuig-Tormo, Carola","Galindo Ortiz, J.",,,,,,,,,
"Baxter, Aryn","Gracia Calandín, J.","Galván-Pérez, L.",,,,,,,,,
"Bayal, M. ª Ángeles Espinosa","Calmaestra Villén, J.","Gandhi, M.",,,,,,,,,
"Baykan, Barış Gençer","Calvo Salvador, Adelina","Garcia-Cabrero, B.",,,,,,,,,
"Baysal, Seda","Calvo, P. León","García, S.",,,,,,,,,
"Baytiyeh, Hoda","Campbell-Barr, V.","García Gómez, M.",,,,,,,,,
,"Campos, S. (Comp.)","García Nieto, M. T. et al.",,,,,,,,,
"Bazán, María Dolores","Candón Mena, J.","García-Alba, Á.",,,,,,,,,
"Bean, Thomas W.","Cano-Ramos, M. A.","Gavas, M.",,,,,,,,,
"Beaudoin, Raphaëlle","Capella, V. B.","Gervais, J. J.",,,,,,,,,
"Beaumatin, Ania","Cappellotto, G. ","Geryk, M.",,,,,,,,,
"Becerra-Lubies, Rukmini","Caramelo, João","Ghufron, A.",,,,,,,,,
"Bechtum, Alexandra","Cardoso, Jorge","Gil, L.",,,,,,,,,
"Becker, U.","Carey, Lindsay B.","Giménez Pardo, C.",,,,,,,,,
"Beech, Jason","Carlier, Julie","Giménez Romero, C. (Dir.)",,,,,,,,,
"Beeson, Sherrie Rhodes","Carr, Paul R.","Giraud, C.",,,,,,,,,
"Belachquer, Meryem","Carrascal, S.",,,,,,,,,,
"Belda-Miquel, Sergio","Carrillo Ponce, M.",,,,,,,,,,
"Belenguer, C.","Carroll, K.",Gobierno de Cantabria,,,,,,,,,
"Bell, Heather L.","Carsillo, Tami","Golledge, M.",,,,,,,,,
"Bell, Karen","Carter, C.","González Castellón, E.",,,,,,,,,
"Bellino, Michelle J.","Carvalho, E.","Grave, F. M.",,,,,,,,,
"Belyaeva, Evguenia A.","Casier, Marlies","Grey, S. C.",,,,,,,,,
"Benavot, Aaron","Casinader, Niranjan","Griffiths, B.",,,,,,,,,
"Benayas del Álamo, Javier","Castanheira, Ana et al.","Grinsted, S.",,,,,,,,,
," Filho, José Aires de Castro","Grobbauer, Heidi",,,,,,,,,
"Bendix, Daniel","Caudillo Félix, G. A.","Gross, Charles A. ",,,,,,,,,
"Bengoa, Juana Beriain","Caurín, C.",Groupe de concertation sur l’Éducation à la citoyenneté et à la solidarité internationale,,,,,,,,,
"Benito Soriano, Montserrat","Causemann, Bernward",,,,,,,,,,
"Bennell, Sheila J.","Cavalcante, Cristhiane","Guaraldi, M.T.",,,,,,,,,
"Bennett, Kenrick","Celis, Jorge","Guevara, J. R.",,,,,,,,,
"Bentall, Clare","Celorio, Gema","Guillot, M.",,,,,,,,,
"Bentrovato, Denise","Cendán-Verdes, José Jesús",Gul M.,,,,,,,,,
"Benítez, Jorge Andrés Molina","Chakrabarti, G.","Gutierrez, M.",,,,,,,,,
"Berciano, V.","Chan, S.","Gutiérrez Bonilla, J. C.",,,,,,,,,
"Berends, Jolanda","Chang, Chew-Hung (Ed.)","Gwiszcz, J. M.",,,,,,,,,
"Berg, Juliana","Chang, Chew-Hung","Gómez Franco, I.",,,,,,,,,
,,"Gómez-Q, J. D. et al.",,,,,,,,,
"Bergano, Sofia","Chapman, Debra D.","Haagen, L. E.",,,,,,,,,
