,type,title,author_1,author_2,author_3,author_4,author_5,author_6,author_7,author_8,author_9,author_10,year,publisher,main_theme,publisher_place,secondary_theme,lang,link,doi,publication_country,search_term,rest
1744,Doctoral Theses,"Participación comunitaria y desarrollo.  Feminismos contra corrientes, discursos y prácticas de empoderamiento desde el trabajo social. ","Sánchez Maldonado, V.",,,,,,,,,,2016,Universidad de Granada,['Non-formal education'],,[],Spanish,https://digibug.ugr.es/handle/10481/44396,not found,,EDUCACIÓN PARA LA TRANSFORMACIÓN SOCIAL,
1761,Doctoral Theses,La formación del profesorado para una escuela intercultural,"Figueredo Canosa, Victoria ",,,,,,,,,,2016,Universidad de Almería,"['training of trainers', 'Teacher education']",,[],Spanish,https://dialnet.unirioja.es/servlet/tesis?codigo=133001,not found,,CIUDADANÍA GLOBAL,
1793,Doctoral Theses,El enfoque de las capacidades y la justicia intergeneracional,"Gómez Franco, I.",,,,,,,,,,2016,UNED Universidad Nacional de Educación a Distancia,"['conceptual publications', 'Theoretical']",,[],Spanish,http://e-spacio.uned.es/fez/eserv/tesisuned:Filosofia-Igomez/GOMEZ_FRANCO_Irene_Tesis.pdf,not found,,CIUDADANÍA GLOBAL,
1820,Doctoral Theses,"La educación ambiental en el tercer ciclo de educación primaria. Análisis de la realidad escolar y desarrollo de un proyecto de intervención, en la mancomunidad de municipios de la Valldigna.",Alberola Enguix. L.,,,,,,,,,,2017,Universidad Católica de Valencia San Vicente Mártir,['Formal Education'],,[],Spanish,https://dialnet.unirioja.es/servlet/tesis?codigo=136908,not found,,EDUCACIÓN PARA EL DESARROLLO SOSTENIBLE,
1821,Doctoral Theses,Diagnóstico de actitudes sobre la violencia de género en adolescentes de Granada. Línea base para una intervención educativa.,"González Castellón, E.",,,,,,,,,,2017,Universidad de Granada,['Formal Education'],,[],Spanish,https://digibug.ugr.es/bitstream/handle/10481/48218/26767661.pdf?sequence=6&isAllowed=y,not found,,CIUDADANÍA GLOBAL,
1822,Doctoral Theses,La formación de los estudiantes de secundaria en educación ambiental,"Mascarell Vaya, V.",,,,,,,,,,2017,Universidad Católica de Valencia San Vicente Mártir,['Formal Education'],,[],Spanish,https://dialnet.unirioja.es/servlet/tesis?codigo=158918,not found,,EDUCACIÓN PARA EL DESARROLLO SOSTENIBLE,
1823,Doctoral Theses,"La educación intercultural en Ciencias Sociales, Geografía e Historia. Evaluación de un programa de intervención en educación segundaria obligatoria. ","Matencio López, R. M.",,,,,,,,,,2017,Universidad de Murcia,['Formal Education'],,[],Spanish,https://digitum.um.es/digitum/handle/10201/53982,not found,,CIUDADANÍA GLOBAL,
1824,Doctoral Theses,"Una Oportunidad para ayudar el desarrollo y la pobreza en el mundo vistos desde la escuela: experiencias educativas de solidaridad, cooperación internacional y educación para el desarrollo en contextos escolares: estudio de caso en Cataluña","Navarro Rupérez, M.",,,,,,,,,,2017,Universidad Autónoma de Barcelona,['Formal Education'],,[],Spanish,https://www.tdx.cat/bitstream/handle/10803/456207/mnr1de1.pdf?sequence=1&isAllowed=y,not found,,EDUCACIÓN PARA EL DESARROLLO,
1825,Doctoral Theses,Educación para el desarrollo y la ciudadanía global. Una propuesta de evaluación en el ámbito formal.,"Pastor García, I.",,,,,,,,,,2017,Universidad de Málaga,['Formal Education'],,[],Spanish,https://dialnet.unirioja.es/servlet/exttes?codigo=176780,not found,,CIUDADANÍA GLOBAL,
1826,Doctoral Theses,Análisis de la atención y apoyo lingüístico a alumnos inmigrantes en dos contextos europeos; una propuesta para la mejora de la enseñanza de lenguas adicionales,"Peña García, S.",,,,,,,,,,2017,Universidad de Granada,['Formal Education'],,[],Spanish,https://hera.ugr.es/tesisugr/26391211.pdf,not found,,CIUDADANÍA GLOBAL,
1827,Doctoral Theses,"Educación ambiental, sostenibilidad y huella ecológica. Un estudio exploratorio en la universidad de las Palmas de Gran Canaria.","Tornero Gómez, T.",,,,,,,,,,2017,Universidad de Las Palmas de Gran Canaria,['Formal Education'],,[],Spanish,https://accedacris.ulpgc.es/handle/10553/54057,not found,,EDUCACIÓN PARA EL DESARROLLO SOSTENIBLE,
1839,Doctoral Theses,"Educación para el desarrollo y educación social. Percepción de estudiantes de educación social sobre su formación en desarrollo humano, desigualdades norte/sur y ciudadanía global. ","Hipólito, Natalia Ruiz",,,,,,,,,,2017,Universidad de Castilla-La Mancha,['Higher education research'],,[],Spanish,https://ruidera.uclm.es/xmlui/handle/10578/15276,not found,,CIUDADANÍA GLOBAL,
1840,Doctoral Theses,"Educación para el desarrollo y educación social. Percepción de estudiantes de educación social sobre su formación en desarrollo humano, desigualdades norte/sur y ciudadanía global. ","Hipólito, Natalia Ruiz",,,,,,,,,,2017,Universidad de Castilla-La Mancha,['Higher education research'],,[],Spanish,https://ruidera.uclm.es/xmlui/handle/10578/15276,not found,,EDUCACIÓN PARA EL DESARROLLO,
1841,Doctoral Theses,Integración de la sostenibilidad en instituciones de educación superior,"Olga Bernaldo, M.",,,,,,,,,,2017,Universidad Europea de Madrid,['Higher education research'],,[],Spanish,https://dialnet.unirioja.es/servlet/tesis?codigo=157418,not found,,EDUCACIÓN PARA EL DESARROLLO SOSTENIBLE,
1842,Doctoral Theses,El voluntariado en la Universidad de Extremadura. Análisis de su desarrollo y su perfil psicosocial.,"Rivero Moreno, M. L.",,,,,,,,,,2017,Universidad de Extremadura,['Higher education research'],,[],Spanish,http://dehesa.unex.es/handle/10662/6441,not found,,EDUCACIÓN PARA EL DESARROLLO,
1849,Doctoral Theses,"El servicio voluntario europeo, formación y aprendizajes en el marco de la estrategia 2020.  Análisis de una propuesta pedagógica para contribuir a la construcción de Europa, desde la perspectiva de la solidaridad y la educación no formal.","Peso Moreno, J.",,,,,,,,,,2017,Universidad de Sevilla,"['educational partnerships', 'International Volunteering, study visits']",,[],Spanish,https://idus.us.es/handle/11441/75856;jsessionid=ED8A8F3770B50FB79E8B89DB100CFB74,not found,,CIUDADANÍA GLOBAL,
